id,price_doc
30474,5223958.636928742
30475,8331897.622712542
30476,5062365.299674297
30477,5785537.401531668
30478,4927836.218761174
30479,8879984.886034166
30480,4073153.918845189
30481,4133758.8890627404
30482,4361125.171411786
30483,4679266.39773382
30484,6075610.537706241
30485,4676182.425165746
30486,3390306.5042927107
30487,4241029.686656041
30488,6301744.702626921
30489,5828375.184634785
30490,23543989.121696968
30491,18993455.021842234
30492,6006855.531837809
30493,13022749.184810042
30494,7081369.98225551
30495,9897172.714903427
30496,8472376.480861804
30497,8077384.778021379
30498,4110145.3540924964
30499,7655908.919566457
30500,12295558.077122435
30501,6640725.0305866385
30502,2917470.592598717
30503,5655605.646020017
30504,5823917.581916281
30505,11725998.281222261
30506,2888780.0183001715
30507,4769715.099683851
30508,5180857.284344132
30509,7605478.555626112
30510,9496851.601339966
30511,6222391.877580374
30512,5979112.032971854
30513,4062409.873256965
30514,3136355.602125804
30515,9955909.606870085
30516,5625971.914743586
30517,10766681.080991711
30518,7151426.099544173
30519,4412229.412887528
30520,7290325.207723345
30521,5254368.483987447
30522,7508118.964450605
30523,6197522.949790242
30524,9709573.063698903
30525,8744417.289233185
30526,4705713.134609023
30527,4893006.871479186
30528,6858028.905818649
30529,6212687.380746721
30530,5747812.466413302
30531,15114764.3926654
30532,4533548.719137972
30533,10144491.460290316
30534,6959429.652230464
30535,9527329.331514353
30536,5471984.409108554
30537,11787109.961576855
30538,4778271.789652471
30539,8430654.71227346
30540,9886304.158615937
30541,5454344.968886513
30542,2176199.312438777
30543,5545594.320341653
30544,7038701.469049537
30545,7688710.390269706
30546,4062415.9813871263
30547,10553642.55317285
30548,4385305.237657625
30549,5102050.465757655
30550,13783542.240898479
30551,4948829.133937542
30552,1870169.18410956
30553,6852576.466281314
30554,11305938.71745503
30555,5935596.056833583
30556,9182702.803055143
30557,7695979.341036712
30558,8539761.847460134
30559,5682507.992999399
30560,5453111.26888184
30561,6929785.758740307
30562,12273796.445885157
30563,4419149.6169471545
30564,7142562.10575452
30565,7250773.581625885
30566,7410869.52019819
30567,2154478.968314759
30568,9624970.940122856
30569,10563464.201514272
30570,6132247.29741255
30571,7786507.145971439
30572,4772467.871252828
30573,6065545.830773254
30574,6142543.892377015
30575,6975288.528530642
30576,4726583.359221106
30577,3922862.5674902094
30578,2930368.7706814758
30579,7337756.241543561
30580,4498718.510175908
30581,4911445.8570927335
30582,12233617.517745713
30583,7148752.198257463
30584,4170143.3022317314
30585,2615086.6534137186
30586,9550747.497336406
30587,5793042.91878543
30588,7131772.565676403
30589,7670755.056851166
30590,12789971.939787107
30591,4946911.685826733
30592,6748354.433189673
30593,8282119.464215562
30594,6338788.87611356
30595,5074402.269274836
30596,6893084.133456294
30597,6084833.770996535
30598,9832189.118160909
30599,9741659.067948645
30600,4341582.446697819
30601,5979687.395162229
30602,2036242.850431289
30603,12196073.439821493
30604,4496640.436774097
30605,6313398.247288819
30606,20627285.81434677
30607,5913232.997703654
30608,9410826.344941158
30609,5911115.8367937505
30610,2817521.9209775147
30611,5197673.415548271
30612,7343309.154261999
30613,9278329.564360723
30614,19523513.643712644
30615,7761649.864900524
30616,5282389.278403262
30617,10247274.29648573
30618,4529421.408822917
30619,3927054.075550873
30620,2679911.5612354483
30621,8613175.750138758
30622,7290892.492506141
30623,5925188.786731209
30624,6661943.344917398
30625,7655430.550874637
30626,6009942.119275608
30627,7162911.519848869
30628,6043421.191751053
30629,4787397.0546548925
30630,4295875.431382859
30631,6320809.145805682
30632,3884174.6415760117
30633,6310017.117207239
30634,11755547.975430913
30635,9903928.571108377
30636,5749632.441443268
30637,9633039.016298354
30638,5839622.964090276
30639,7423446.457200251
30640,4468899.742771125
30641,8100690.593445127
30642,6794583.15837276
30643,7732232.926431997
30644,9828400.505184237
30645,7658492.394368961
30646,4965894.63580937
30647,4694473.51895746
30648,27470963.020867262
30649,2549855.0085355463
30650,4612052.312413338
30651,2955470.235928564
30652,4479213.754895696
30653,6613502.711479347
30654,4445662.541861431
30655,12203173.61187248
30656,3647880.0167621598
30657,5751378.768597273
30658,10270985.819582967
30659,4768647.32433829
30660,9317482.345064795
30661,6310453.696698529
30662,8856224.945818618
30663,16875394.829383347
30664,10617762.2767788
30665,5968734.4247004185
30666,2516516.2571566007
30667,4051196.330600866
30668,9576882.158230387
30669,5092213.9546895055
30670,2329337.307018188
30671,6688280.079098609
30672,14492686.857120324
30673,10285302.07245104
30674,10968401.251005933
30675,2144091.631043179
30676,6675294.877951159
30677,4105904.628575451
30678,21755971.700070642
30679,5775086.042208079
30680,4871045.61692277
30681,2079887.5213442275
30682,9635605.873084312
30683,9874108.938562337
30684,4532055.606463849
30685,7234784.760315206
30686,9379599.086091034
30687,4885874.423628527
30688,4436831.95427955
30689,13054644.310349142
30690,28375114.07355846
30691,4360052.605048601
30692,5808462.011518578
30693,11813341.43786353
30694,5004416.241220408
30695,7346986.97568403
30696,6142106.029215396
30697,11103871.747179015
30698,7392496.0270309225
30699,5333388.426296414
30700,4753126.100523539
30701,9815134.642797511
30702,6356706.196700561
30703,3640981.412495567
30704,12225085.213421324
30705,7821696.467194765
30706,29097113.217761185
30707,3487856.1108760973
30708,14828332.232999302
30709,5427618.866969972
30710,7247738.169619526
30711,4631188.099764676
30712,3904494.141262161
30713,5278149.261828937
30714,6687432.086687967
30715,3483342.493055638
30716,9867746.500352673
30717,6251574.844795044
30718,9042223.311825242
30719,16109281.610862248
30720,7474250.521466871
30721,3802212.578285708
30722,7484642.003968494
30723,6300321.555066047
30724,12090185.830047276
30725,6183604.95343668
30726,11799469.936518943
30727,9976562.099904036
30728,11939050.818289008
30729,3355772.716542171
30730,5744287.611695671
30731,6018312.337609905
30732,4346423.178726689
30733,9787856.769883914
30734,6516968.110636223
30735,5428146.150640873
30736,5180643.506098769
30737,5891750.162925506
30738,5705868.00861052
30739,4026359.0151154944
30740,7013189.893422032
30741,11011319.841503862
30742,3923081.48960435
30743,4684217.56296643
30744,9883495.486941302
30745,6500205.425235903
30746,5496208.825435587
30747,13552549.95998493
30748,18430932.08360139
30749,4510454.999569115
30750,6886191.874517081
30751,3419553.546073771
30752,6974114.804751499
30753,10543972.678655285
30754,5530824.32436401
30755,4369171.457674723
30756,5946090.989517541
30757,5226424.521235731
30758,8849122.872789638
30759,5784668.291553624
30760,4025204.6338952333
30761,9010604.731925745
30762,6676996.282879773
30763,12698128.783225106
30764,5967117.76124906
30765,5265170.678496049
30766,3541929.7242319295
30767,8950546.484670285
30768,4124678.2163645816
30769,8149799.578997341
30770,5943137.498648967
30771,2747789.284395194
30772,7924727.647748691
30773,7662561.523445067
30774,5432393.69805456
30775,13548386.503559314
30776,5374099.256970289
30777,5987836.827117337
30778,8831866.522867896
30779,6104590.814576749
30780,7258129.414828145
30781,6310332.442206105
30782,5110941.043911563
30783,5330779.654629929
30784,3527197.7712470065
30785,4756546.71005616
30786,4016736.45627389
30787,5945895.6426329315
30788,5481566.607524876
30789,7075691.244256414
30790,6059078.526122068
30791,10409374.501689311
30792,6613293.81305785
30793,10592201.997470142
30794,13410905.257505698
30795,12176654.354393117
30796,12086399.537715185
30797,15441465.276342828
30798,2591449.687271668
30799,9940577.242455352
30800,13219523.34476181
30801,5844346.862096377
30802,17470551.770790733
30803,2653921.3719835673
30804,3339677.4577728882
30805,14687315.325065756
30806,6557266.40192814
30807,5938037.837464326
30808,10719887.510968989
30809,4854991.321533581
30810,11164215.261632932
30811,4162290.4381819717
30812,5156939.59464519
30813,4680978.374966685
30814,2467663.133470345
30815,4128952.359537791
30816,8087221.848107893
30817,2048753.7767226372
30818,7776687.560580624
30819,8233062.2794485865
30820,4751160.592292141
30821,26704430.564640358
30822,8443736.199079985
30823,7228245.5205627
30824,3363534.267608995
30825,4713452.389165337
30826,10643061.277946945
30827,5000393.381282481
30828,5325179.750083595
30829,4842336.603443428
30830,9580003.396494532
30831,5811662.180089778
30832,5542381.218301967
30833,4844250.05900037
30834,3947941.727221239
30835,7359982.088349465
30836,6505973.769773348
30837,5199284.9568377165
30838,4210025.685814964
30839,5499683.823305841
30840,10942757.983319696
30841,10440186.847530924
30842,6611449.6892261375
30843,5003566.773267539
30844,6199789.160781387
30845,9307273.23615945
30846,4086554.607075255
30847,5509185.5731715355
30848,8357954.06619013
30849,4280740.365367341
30850,3820425.831395029
30851,4501655.661453656
30852,6955610.510011774
30853,3757584.6067462526
30854,5941876.906614451
30855,7689198.725855121
30856,9696212.88229005
30857,2050637.359382327
30858,4059585.292336813
30859,5673428.893991626
30860,5584566.039397337
30861,8296953.5365853105
30862,5855506.5639007315
30863,5106307.490261737
30864,5513543.450119424
30865,9912101.03459161
30866,6603869.021608367
30867,5251505.029428845
30868,8497405.71368347
30869,4964253.156027657
30870,5574909.052115357
30871,8015822.188013507
30872,4549750.905274647
30873,3618530.7944752485
30874,4779907.081430417
30875,6357820.636215108
30876,4737419.983082956
30877,9732260.315582627
30878,5460731.167483632
30879,7981112.746752601
30880,5870166.719412239
30881,2059989.416338381
30882,10367913.399125656
30883,3239802.900555666
30884,5486950.947220204
